"subject" "activity" "signal.cmpnt" "sensor" "axis" "mean" "std"
"s01" "WALKING" "Body" "Acc" "X" 0.277330758736842 -0.283740258842105
"s01" "WALKING" "Body" "Acc" "Y" -0.0173838185273684 0.114461336747368
"s01" "WALKING" "Body" "Acc" "Z" -0.111148103547368 -0.260027902210526
"s01" "WALKING" "Body" "Gyro" "X" -0.041830963526 -0.473535485894737
"s01" "WALKING" "Body" "Gyro" "Y" -0.0695300462115789 -0.0546077686594737
"s01" "WALKING" "Body" "Gyro" "Z" 0.0849448173042105 -0.344266629473684
"s01" "WALKING" "Gravity" "Acc" "X" 0.935223201473684 -0.976609642526316
"s01" "WALKING" "Gravity" "Acc" "Y" -0.282165021263158 -0.971305961473684
"s01" "WALKING" "Gravity" "Acc" "Z" -0.068102864 -0.947717226105263
"s01" "WALKING_UPSTAIRS" "Body" "Acc" "X" 0.255461689622641 -0.35470802509434
"s01" "WALKING_UPSTAIRS" "Body" "Acc" "Y" -0.0239531492643396 -0.00232026501698113
"s01" "WALKING_UPSTAIRS" "Body" "Acc" "Z" -0.0973020020943396 -0.0194792388471698
"s01" "WALKING_UPSTAIRS" "Body" "Gyro" "X" 0.050549379754717 -0.544871104528302
"s01" "WALKING_UPSTAIRS" "Body" "Gyro" "Y" -0.166170015088679 0.00410518379811321
"s01" "WALKING_UPSTAIRS" "Body" "Gyro" "Z" 0.0583595463981132 -0.50716867490566
"s01" "WALKING_UPSTAIRS" "Gravity" "Acc" "X" 0.89335109754717 -0.956367027924528
"s01" "WALKING_UPSTAIRS" "Gravity" "Acc" "Y" -0.362153364339623 -0.952849233207547
"s01" "WALKING_UPSTAIRS" "Gravity" "Acc" "Z" -0.075402939754717 -0.912379410377358
"s01" "WALKING_DOWNSTAIRS" "Body" "Acc" "X" 0.289188320408163 0.0300353383483878
"s01" "WALKING_DOWNSTAIRS" "Body" "Acc" "Y" -0.00991850461020408 -0.0319359434489796
"s01" "WALKING_DOWNSTAIRS" "Body" "Acc" "Z" -0.107566190908163 -0.230434213204082
"s01" "WALKING_DOWNSTAIRS" "Body" "Gyro" "X" -0.0350781902989796 -0.458030542938775
"s01" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Y" -0.0909371290204082 -0.126349194938775
"s01" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Z" 0.0900850142030612 -0.124702454242857
"s01" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "X" 0.931874418979592 -0.950559811632653
"s01" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Y" -0.266610338979592 -0.937018658979592
"s01" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Z" -0.0621199585938775 -0.895939695102041
"s01" "SITTING" "Body" "Acc" "X" 0.261237565425532 -0.977229008297872
"s01" "SITTING" "Body" "Acc" "Y" -0.00130828765170213 -0.922618641914894
"s01" "SITTING" "Body" "Acc" "Z" -0.104544182255319 -0.93958629106383
"s01" "SITTING" "Body" "Gyro" "X" -0.045350056512766 -0.977211283191489
"s01" "SITTING" "Body" "Gyro" "Y" -0.0919241549361702 -0.966473895319149
"s01" "SITTING" "Body" "Gyro" "Z" 0.0629313811914894 -0.941425920851064
"s01" "SITTING" "Gravity" "Acc" "X" 0.831509933404255 -0.968457145744681
"s01" "SITTING" "Gravity" "Acc" "Y" 0.204411592680851 -0.935517055957447
"s01" "SITTING" "Gravity" "Acc" "Z" 0.332043702765957 -0.949040933191489
"s01" "STANDING" "Body" "Acc" "X" 0.278917629056604 -0.995759901509434
